Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Design Director,78701,72,215200,180,45,23,48635,9.2,Design,Female,69,40,3.0663928815879533,34,0
Design Director,78702,73,217600,180,45,23,49613,9.6,Design,Female,150,40,5.388090349075975,33,1
Director of HR,2108,76,220000,180,45,23,50600,11.5,Human Resources,Male,76,40,5.4811772758384665,33,1
Lead Data Scientist,94112,101,146200,130,35,19,17398,7.8,Data Science,Female,98,40,3.707049965776865,33,0
Lead DevOps Engineer,98106,102,146600,130,35,19,17519,7.9,Engineering,Male,114,40,3.961670088980151,31,0
Lead Software Engineer,98106,105,144200,130,35,19,16799,7.3,Engineering,Male,124,40,3.816563997262149,32,0
Lead UX Designer,78712,107,145800,130,35,19,17277,7.7,Design,Male,134,40,4.175222450376454,33,0
Principal Engineer,98102,116,190000,155,40,21,38000,10.1,Engineering,Female,140,40,5.69472963723477,34,1
Principal Product Designer,78704,117,179500,155,40,21,34015,7.9,Design,Male,62,40,3.575633127994524,33,0
Product Lead,10010,122,147400,130,35,19,17762,8.1,Product,Female,158,40,5.084188911704312,31,1
Sales Director,90010,126,209800,180,45,23,46471,8.3,Sales,Female,77,40,3.236139630390144,31,0
Senior Account Manager,90011,130,136000,130,35,19,15300,6.5,Sales,Male,68,40,5.612594113620808,30,1
Senior DevOps Engineer,94108,134,143600,130,35,19,17519,8.4,Engineering,Male,94,40,4.569472963723477,31,0
Senior Product Manager,10010,140,138800,130,35,19,16101,7.2,Product,Female,88,40,3.890485968514716,32,0
Senior Project Manager,98102,141,147200,130,35,19,18621,9.3,Product,Female,130,40,5.3114305270362765,32,1
Senior Sales Manager,90008,143,137200,130,35,19,15641,6.8,Sales,Male,106,40,4.120465434633813,32,0
Senior Sales Representative,90008,144,136800,130,35,19,15527,6.7,Sales,Male,126,40,4.224503764544832,33,0
Staff Engineer,94108,147,115250,130,35,19,10430,8.1,Engineering,Male,104,40,4.720054757015743,32,0
Technical Lead,94112,150,149000,130,35,19,18253,8.5,Engineering,Female,148,40,4.654346338124572,30,0
